2026-03-16 16:05:09 | INFO | EtlWorkerService | [CsvExtractor] Archivo order_details.csv extraido con 60161 filas.
2026-03-16 16:05:11 | INFO | EtlWorkerService | [ApiExtractor] Endpoint /comments extrajo 500 filas.
2026-03-16 16:05:49 | INFO | EtlWorkerService | [DatabaseExtractor] Query orders_overview extrajo 20000 filas.
2026-03-16 16:05:49 | INFO | EtlWorkerService | [DatabaseExtractor] Query customer_activity extrajo 5000 filas.
2026-03-16 16:05:49 | INFO | EtlWorkerService | [DataLoader] Archivos temporales generados: 7
2026-03-16 16:06:01 | INFO | EtlWorkerService | [DataLoader] 5000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 16:06:03 | INFO | EtlWorkerService | [DataLoader] 2000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 16:07:11 | INFO | EtlWorkerService | [DataLoader] 20000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 16:09:57 | INFO | EtlWorkerService | [DataLoader] 60161 filas cargadas en dbo.StgCsvExtract.
2026-03-16 16:11:21 | INFO | EtlWorkerService | [DataLoader] 20000 filas cargadas en dbo.StgDbExtract.
2026-03-16 16:11:42 | INFO | EtlWorkerService | [DataLoader] 5000 filas cargadas en dbo.StgDbExtract.
2026-03-16 16:11:44 | INFO | EtlWorkerService | [DataLoader] 500 filas cargadas en dbo.StgApiExtract.
2026-03-16 16:11:44 | INFO | EtlWorkerService | [DataLoader] Metricas de auditoria guardadas: 7
2026-03-16 16:11:44 | INFO | EtlWorkerService | Datasets extraidos: 7
2026-03-16 16:11:44 | INFO | EtlWorkerService | Total de filas extraidas: 112661
2026-03-16 16:11:44 | INFO | EtlWorkerService | Errores detectados: 0
2026-03-16 16:11:44 | INFO | EtlWorkerService | === Fin Worker ETL (batch=fc652c18-fdf6-41f5-9d1c-d1e9ad4de240) ===
2026-03-16 16:48:04 | INFO | EtlWorkerService | Configuracion cargada desde C:\Users\kalco\OneDrive\Documents\Electiva 1 y 2\ProcesoEtl\config\settings.json
2026-03-16 16:48:04 | INFO | EtlWorkerService | Base de datos objetivo: ProcesoETLDB
2026-03-16 16:48:04 | INFO | EtlWorkerService | === Inicio Worker ETL (batch=eb2d9126-be24-4e09-8801-45fccacea079) ===
2026-03-16 16:48:06 | INFO | EtlWorkerService | [SQL] Lotes ejecutados: 10/28
2026-03-16 16:48:07 | INFO | EtlWorkerService | [SQL] Lotes ejecutados: 20/28
2026-03-16 16:48:07 | INFO | EtlWorkerService | [SQL] Esquema aplicado correctamente en la base ProcesoETLDB.
2026-03-16 16:48:07 | INFO | EtlWorkerService | [DataLoader] Tablas staging y auditoria limpiadas.
2026-03-16 16:48:07 | INFO | EtlWorkerService | [CsvExtractor] Archivo customers.csv extraido con 5000 filas.
2026-03-16 16:48:07 | INFO | EtlWorkerService | [CsvExtractor] Archivo products.csv extraido con 2000 filas.
2026-03-16 16:48:07 | INFO | EtlWorkerService | [CsvExtractor] Archivo orders.csv extraido con 20000 filas.
2026-03-16 16:48:07 | INFO | EtlWorkerService | [CsvExtractor] Archivo order_details.csv extraido con 60161 filas.
2026-03-16 16:48:07 | INFO | EtlWorkerService | [DatabaseExtractor] Query orders_overview extrajo 20000 filas.
2026-03-16 16:48:07 | INFO | EtlWorkerService | [DatabaseExtractor] Query customer_activity extrajo 5000 filas.
2026-03-16 16:48:08 | INFO | EtlWorkerService | [ApiExtractor] Endpoint /comments extrajo 500 filas.
2026-03-16 16:48:08 | INFO | EtlWorkerService | [DataLoader] Archivos temporales generados: 7
2026-03-16 16:48:16 | INFO | EtlWorkerService | [DataLoader] 5000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 16:48:18 | INFO | EtlWorkerService | [DataLoader] 2000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 16:49:19 | INFO | EtlWorkerService | [DataLoader] 20000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 16:51:17 | INFO | EtlWorkerService | [DataLoader] 60161 filas cargadas en dbo.StgCsvExtract.
2026-03-16 16:54:35 | INFO | EtlWorkerService | Configuracion cargada desde C:\Users\kalco\OneDrive\Documents\Electiva 1 y 2\ProcesoEtl\config\settings.json
2026-03-16 16:54:35 | INFO | EtlWorkerService | Base de datos objetivo: ProcesoETLDB
2026-03-16 16:54:35 | INFO | EtlWorkerService | === Inicio Worker ETL (batch=2475d162-4329-4790-a36a-fa32f306ef5e) ===
2026-03-16 16:54:36 | INFO | EtlWorkerService | [SQL] Lotes ejecutados: 10/28
2026-03-16 16:54:36 | INFO | EtlWorkerService | [SQL] Lotes ejecutados: 20/28
2026-03-16 16:54:38 | INFO | EtlWorkerService | [SQL] Esquema aplicado correctamente en la base ProcesoETLDB.
2026-03-16 16:54:40 | INFO | EtlWorkerService | [DataLoader] Tablas staging y auditoria limpiadas.
2026-03-16 16:54:40 | INFO | EtlWorkerService | [CsvExtractor] Archivo customers.csv extraido con 5000 filas.
2026-03-16 16:54:40 | INFO | EtlWorkerService | [CsvExtractor] Archivo products.csv extraido con 2000 filas.
2026-03-16 16:54:40 | INFO | EtlWorkerService | [CsvExtractor] Archivo orders.csv extraido con 20000 filas.
2026-03-16 16:54:40 | INFO | EtlWorkerService | [CsvExtractor] Archivo order_details.csv extraido con 60161 filas.
2026-03-16 16:54:41 | INFO | EtlWorkerService | [ApiExtractor] Endpoint /comments extrajo 500 filas.
2026-03-16 16:55:20 | INFO | EtlWorkerService | [DatabaseExtractor] Query orders_overview extrajo 20000 filas.
2026-03-16 16:55:20 | INFO | EtlWorkerService | [DatabaseExtractor] Query customer_activity extrajo 5000 filas.
2026-03-16 16:55:21 | INFO | EtlWorkerService | [DataLoader] Archivos temporales generados: 7
2026-03-16 16:55:40 | INFO | EtlWorkerService | [DataLoader] 5000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 16:55:42 | INFO | EtlWorkerService | [DataLoader] 2000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 16:56:15 | INFO | EtlWorkerService | [DataLoader] 20000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 16:56:21 | INFO | EtlWorkerService | [DataLoader] 60161 filas cargadas en dbo.StgCsvExtract.
2026-03-16 16:56:22 | INFO | EtlWorkerService | [DataLoader] 20000 filas cargadas en dbo.StgDbExtract.
2026-03-16 16:56:23 | INFO | EtlWorkerService | [DataLoader] 5000 filas cargadas en dbo.StgDbExtract.
2026-03-16 16:56:23 | INFO | EtlWorkerService | [DataLoader] 500 filas cargadas en dbo.StgApiExtract.
2026-03-16 16:56:23 | INFO | EtlWorkerService | [DataLoader] Metricas de auditoria guardadas: 7
2026-03-16 16:56:23 | INFO | EtlWorkerService | Datasets extraidos: 7
2026-03-16 16:56:23 | INFO | EtlWorkerService | Total de filas extraidas: 112661
2026-03-16 16:56:23 | INFO | EtlWorkerService | Errores detectados: 0
2026-03-16 16:56:23 | INFO | EtlWorkerService | === Fin Worker ETL (batch=2475d162-4329-4790-a36a-fa32f306ef5e) ===
2026-03-16 16:58:23 | INFO | EtlWorkerService | Configuracion cargada desde C:\Users\kalco\OneDrive\Documents\Electiva 1 y 2\ProcesoEtl\config\settings.json
2026-03-16 16:58:23 | INFO | EtlWorkerService | Base de datos objetivo: ProcesoETLDB
2026-03-16 16:58:23 | INFO | EtlWorkerService | === Inicio Worker ETL (batch=817bdcdc-8dc7-48ff-882a-13063932f1ac) ===
2026-03-16 16:58:24 | INFO | EtlWorkerService | [SQL] Lotes ejecutados: 10/28
2026-03-16 16:58:25 | INFO | EtlWorkerService | [SQL] Lotes ejecutados: 20/28
2026-03-16 16:58:25 | INFO | EtlWorkerService | [SQL] Esquema aplicado correctamente en la base ProcesoETLDB.
2026-03-16 16:58:28 | INFO | EtlWorkerService | [DataLoader] Tablas staging y auditoria limpiadas.
2026-03-16 16:58:28 | INFO | EtlWorkerService | [CsvExtractor] Archivo customers.csv extraido con 5000 filas.
2026-03-16 16:58:28 | INFO | EtlWorkerService | [CsvExtractor] Archivo products.csv extraido con 2000 filas.
2026-03-16 16:58:28 | INFO | EtlWorkerService | [CsvExtractor] Archivo orders.csv extraido con 20000 filas.
2026-03-16 16:58:28 | INFO | EtlWorkerService | [CsvExtractor] Archivo order_details.csv extraido con 60161 filas.
2026-03-16 16:58:29 | INFO | EtlWorkerService | [ApiExtractor] Endpoint /comments extrajo 500 filas.
